abs_slot,actual,forecast
196926041,0.002985174,0.039790519608348195
196926045,4.4389206e-05,0.03611543095607241
196926123,0.15515137,0.03336868331873958
196926131,0.023282139,0.035669151751928925
196926142,0.006780451,0.030880607585844395
196926183,0.18776633,0.035057072410336135
196926218,0.19990678,0.05307896425903485
196926245,0.21385609,0.05479162006481487
196926251,0.06254439,0.052796106137106585
196926261,0.018388228,0.04105403607783505
196926269,0.032337535,0.03762050199908364
196926315,4.4389206e-05,0.03321664536711579
196926344,0.19157271,0.04090291248191535
196926405,0.15368652,0.03856556735662169
196926427,0.025834518,0.034198796791758745
196926435,0.007901278,0.030277460521952425
196926444,4.4389206e-05,0.027810410667994695
196926453,0.008422852,0.025351483711876607
196926498,0.08604848,0.022460244778852945
196926502,0.010575728,0.02142886021344872
196926565,0.1455966,0.02807679247028285
196926585,0.009011009,0.02725406400026526
196926592,0.15365323,0.03333253606213056
196926625,0.18884277,0.04439740394679503
196926630,0.03461248,0.04706183129264082
196926671,0.3235529,0.05288660470563774
196926689,0.103837445,0.06901695392147761
196926692,0.10191762,0.06202215713873698
196926705,0.027110707,0.05457224438627213
196926762,0.25264117,0.045460731993433166
196926764,0.26538086,0.07811848580533008
196926768,0.100941055,0.09156098037246914
196926800,0.22438742,0.07981061491425537
196926809,0.13472123,0.09809844358616215
196926832,0.18110795,0.10363898309800537
196926841,0.08063299,0.09278529612695785
196926850,0.058627043,0.08648689023805838
196926856,0.024525035,0.08464689364360285
196926858,4.4389206e-05,0.07163054174265009
196926891,0.040560637,0.05087259324835116
196926908,0.17909934,0.06981527792960814
196926940,0.07956765,0.06461901973289563
196926941,4.4389206e-05,0.05852351714243957
196926969,0.15327592,0.05721118168419119
196926972,0.047807172,0.06968148743998633
196926980,0.037653144,0.06293754345363921
196926993,0.037364613,0.05951243830523589
196927051,0.19273792,0.05346209189017005
196927053,0.009011009,0.060027545506583194
196927056,4.4389206e-05,0.05022520651107805
196927060,4.4389206e-05,0.03922826243914616
196927074,0.045121625,0.03556217488047356
196927076,4.4389206e-05,0.03248954805106634
196927092,0.14614035,0.04225727988962331
196927093,4.4389206e-05,0.04976413057392962
196927100,0.05128063,0.04344306984565707
196927125,0.2763894,0.060235388274059734
196927143,0.15500711,0.07728235815081758
196927151,0.064774945,0.07520352473210856
196927160,0.034068715,0.06669642918653924
196927166,0.0168568,0.05746162596024785
196927198,0.22933683,0.05745351244908467
196927214,0.11257102,0.06959244584906056
196927218,4.4389206e-05,0.06935193163860964
196927226,0.03091708,0.058263279480230655
196927227,0.0144153945,0.05433756688254713
196927236,0.0460649,0.05064273721344656
196927254,0.033169832,0.041440282813032
196927258,0.017256303,0.04082063501907103
